case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency
circle_r_0p02,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174322_noise_sweep_circle_sphere_circle_r_0p02_seed11,8,2,8,0.9996701189106253,0.8800000000000001,0.755311845705379
circle_r_0p02,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174326_noise_sweep_circle_sphere_circle_r_0p02_seed22,8,2,8,0.9997135916123258,0.8960000000000002,0.7786662890479152
circle_r_0p02,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174330_noise_sweep_circle_sphere_circle_r_0p02_seed33,8,2,8,0.9996716532412735,0.8793333333333334,0.8006183016201343
circle_r_0p08,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174334_noise_sweep_circle_sphere_circle_r_0p08_seed11,6,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036
circle_r_0p08,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174337_noise_sweep_circle_sphere_circle_r_0p08_seed22,6,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835
circle_r_0p08,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174341_noise_sweep_circle_sphere_circle_r_0p08_seed33,6,2,6,0.9931497250990922,0.583111111111111,0.7888357232588313
circle_r_0p16,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174344_noise_sweep_circle_sphere_circle_r_0p16_seed11,4,2,4,0.9808786600179005,0.45088888888888884,0.7253879373197409
circle_r_0p16,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174347_noise_sweep_circle_sphere_circle_r_0p16_seed22,4,2,4,0.9812653113412607,0.45444444444444443,0.7538084040446823
circle_r_0p16,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174351_noise_sweep_circle_sphere_circle_r_0p16_seed33,4,2,4,0.9811793888249585,0.45488888888888884,0.7599741182663421
sphere_r_0p02,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174354_noise_sweep_circle_sphere_sphere_r_0p02_seed11,12,3,12,0.8471213399820995,0.43577777777777776,0.4933280146590076
sphere_r_0p02,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174357_noise_sweep_circle_sphere_sphere_r_0p02_seed22,12,3,12,0.8622559774964837,0.4475555555555555,0.4717315992597024
sphere_r_0p02,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174401_noise_sweep_circle_sphere_sphere_r_0p02_seed33,12,3,12,0.8563810254443166,0.4353333333333334,0.3613002732180164
sphere_r_0p08,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174404_noise_sweep_circle_sphere_sphere_r_0p08_seed11,10,3,10,0.849419767293185,0.4075555555555555,0.4758345850548692
sphere_r_0p08,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174407_noise_sweep_circle_sphere_sphere_r_0p08_seed22,12,3,12,0.8573312875591357,0.40444444444444444,0.4742668211117072
sphere_r_0p08,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174411_noise_sweep_circle_sphere_sphere_r_0p08_seed33,10,3,10,0.8561457614115842,0.3977777777777778,0.35404943647038695
sphere_r_0p16,11,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174414_noise_sweep_circle_sphere_sphere_r_0p16_seed11,8,3,8,0.8501495972382048,0.32933333333333337,0.44186953652207417
sphere_r_0p16,22,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174418_noise_sweep_circle_sphere_sphere_r_0p16_seed22,8,3,8,0.8551013936836722,0.3191111111111111,0.46518885369339685
sphere_r_0p16,33,results/20260302_174322_noise_sweep_circle_sphere/runs/20260302_174422_noise_sweep_circle_sphere_sphere_r_0p16_seed33,8,3,8,0.8524495588799386,0.3122222222222223,0.3382143802836411
